241/975 FEASIBLE 0.5s (4, 2) r4c3-r4c2-r5c2-r6c2-r7c2-r7c1
242/975 infeasible 0.2s (4, 2) r4c3-r4c2-r5c2-r6c2-r7c2-r7c3
243/975 infeasible 0.3s (4, 2) r4c3-r4c2-r5c2-r6c2-r7c2-r8c2
244/975 FEASIBLE 0.3s (4, 2) r4c3-r5c3-r5c2-r6c2-r7c2-r7c1
245/975 infeasible 0.2s (4, 2) r4c3-r5c3-r5c2-r6c2-r7c2-r7c3
246/975 infeasible 0.2s (4, 2) r4c3-r5c3-r5c2-r6c2-r7c2-r8c2
247/975 infeasible 0.2s (2, 4) r4c3-r5c3-r5c4-r5c5-r5c6-r6c6
248/975 infeasible 0.2s (2, 4) r4c3-r5c3-r5c4-r5c5-r6c5-r6c4
249/975 infeasible 0.2s (2, 4) r4c3-r5c3-r5c4-r5c5-r6c5-r6c6
250/975 infeasible 0.2s (2, 4) r4c3-r5c3-r5c4-r6c4-r6c5-r5c5
251/975 infeasible 0.2s (2, 4) r4c3-r5c3-r5c4-r6c4-r6c5-r6c6
252/975 infeasible 0.2s (4, 2) r4c3-r5c3-r6c3-r6c2-r7c2-r7c1
253/975 infeasible 0.2s (4, 2) r4c3-r5c3-r6c3-r6c2-r7c2-r7c3
254/975 infeasible 0.2s (4, 2) r4c3-r5c3-r6c3-r6c2-r7c2-r8c2
255/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r6c4-r5c4-r5c5
256/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r6c4-r6c5-r5c5
257/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r6c4-r6c5-r6c6
258/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r7c3-r7c2-r7c1
259/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r7c3-r7c2-r8c2
260/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r7c3-r8c3-r8c2
261/975 infeasible 0.2s (3, 3) r4c3-r5c3-r6c3-r7c3-r8c3-r9c3
262/975 infeasible 0.2s (3, 3) r5c1-r5c2-r5c3-r5c4-r5c5-r5c6
263/975 infeasible 0.3s (3, 3) r5c1-r5c2-r5c3-r5c4-r5c5-r6c5
264/975 infeasible 0.4s (3, 3) r5c1-r5c2-r5c3-r5c4-r6c4-r6c5
265/975 FEASIBLE 0.3s (4, 2) r5c1-r5c2-r5c3-r6c3-r6c4-r5c4
266/975 FEASIBLE 0.5s (4, 2) r5c1-r5c2-r5c3-r6c3-r6c4-r6c5
267/975 FEASIBLE 0.3s (4, 1, 1) r5c1-r5c2-r5c3-r6c3-r6c4-r7c4
268/975 FEASIBLE 0.3s (4, 2) r5c1-r5c2-r5c3-r6c3-r7c3-r7c2
269/975 infeasible 0.2s (4, 1, 1) r5c1-r5c2-r5c3-r6c3-r7c3-r7c4
270/975 infeasible 0.2s (4, 2) r5c1-r5c2-r5c3-r6c3-r7c3-r8c3
271/975 FEASIBLE 0.2s (4, 2) r5c1-r5c2-r6c2-r6c1-r7c1-r7c2
272/975 FEASIBLE 0.3s (4, 2) r5c1-r5c2-r6c2-r6c1-r7c1-r8c1
273/975 FEASIBLE 0.3s (4, 2) r5c1-r5c2-r6c2-r6c3-r6c4-r5c4
274/975 FEASIBLE 0.2s (4, 2) r5c1-r5c2-r6c2-r6c3-r6c4-r6c5
275/975 FEASIBLE 0.4s (4, 1, 1) r5c1-r5c2-r6c2-r6c3-r6c4-r7c4
276/975 FEASIBLE 0.3s (4, 2) r5c1-r5c2-r6c2-r6c3-r7c3-r7c2
277/975 infeasible 0.2s (4, 1, 1) r5c1-r5c2-r6c2-r6c3-r7c3-r7c4
278/975 infeasible 0.2s (4, 2) r5c1-r5c2-r6c2-r6c3-r7c3-r8c3
279/975 FEASIBLE 0.5s (3, 3) r5c1-r5c2-r6c2-r7c2-r7c1-r8c1
280/975 FEASIBLE 0.5s (3, 3) r5c1-r5c2-r6c2-r7c2-r7c3-r8c3
